,Correlation
HLA-DRB5,0.009869349834278549
HLA-DOA,-0.021025344006739076
CD74,0.024910101114524266
HLA-DPA1,0.002046819128102864
HLA-DMA,0.016408409154592248
HLA-DPB1,0.018035416630160304
HLA-DQB1,0.008534124335262067
HLA-DRB1,0.012427966153582845
HLA-DQA1,0.013836396376328691
HLA-DRA,-0.00153644571391788
IRAG2,-0.036266377890269895
LMO2,0.005109345663473785
DUSP2,0.019806073164650426
BCL2A1,0.0004002104492241719
CD83,-0.012969253970566447
ADA,0.01842349955066019
KLHL6,-0.022194225352521017
MZB1,-0.017106890488880862
CD79B,-0.0010324458004179833
CD79A,-0.005427858173162879
DTX1,-0.0009087754262414726
LCK,-0.0012614409959428494
BATF,0.006418583315635644
IRF8,-0.03111077277021206
LTB,-0.011271732110644389
CD52,0.0020024446313810125
LIMD2,-0.0010044643775115644
CORO1A,0.0069473437672340444
HCLS1,-0.02804162980309244
BIK,0.018613293417865637
MYBL2,0.036570898500607296
IGF2BP2,-0.009039043717235566
SELENBP1,0.009275820322979517
PTGS2,-0.00968844570124548
GMPR,0.02429342980082049
RBM38,0.008532467270251186
CA2,0.009802259640039454
E2F2,0.019585759436562426
HBB,0.0014073811247118896
TENT5C,-0.024549176907254954
AREG,-0.0006291951692524877
FOSL1,0.00037228875153200625
HBA2,0.05330342781879533
HOXA5,-0.031320527715235275
LAMP5,-0.01587607489476949
SOCS2,-0.025390565458319775
G0S2,0.007346800250167058
SOCS3,-0.01741232222383736
KLF4,-0.01730642591317366
MAFB,0.008824224019070128
CDA,-0.008318851554772508
LTF,-0.0019539672272147575
F13A1,-0.04151981073510122
GATA2,-0.007314043060821629
SOX4,0.03465391935039906
NRGN,0.005987331160334345
CST7,-0.00932246803769998
RNASE2,0.006670525221077989
RAB32,0.02715651984393952
CFD,-0.006604331422760678
CLEC11A,0.03814510971079621
MYADM,-0.012303049152650082
SRGN,-0.013671787028033414
PLAC8,-0.0004042315520708611
SELL,0.017550643361909268
AIF1,-0.0030614062177845985
FCER1G,0.018085774792872565
LST1,0.0030551150822303867
TYROBP,0.019638256805585785
EVI2B,-0.004305086280804185
EMP3,0.01838072557997499
SPI1,0.0040288466079921766
LGALS1,0.03207144964309091
S100A4,0.004820824348898781
VIM,0.03493317793123104
ZNF385A,0.020546332311835724
ZFP36L2,-0.048633907413522005
CTSW,0.012552979533007621
NR4A2,0.001220104396910848
GNG7,0.021196142090208044
GYPC,0.0087111129871936
CYTL1,0.015399063698846178
EGFL7,0.016459688103505073
SLC45A3,0.0009279010188945612
CPA3,-0.013535532978913018
TPSAB1,0.02138283452762381
TPSB2,0.021310299512044762
TNF,-0.014886996415329737
CXCL2,-0.008850614229213748
IL1B,-0.01940744561285763
CDKN2D,0.01487445541522678
RGS2,0.0032075001036265794
CXCR4,0.01560395165880072
GPR183,-0.002512504465962026
PLIN2,0.008403273240689308
CXCL8,-0.015536279037851026
PMAIP1,0.010699761925895048
ATF3,0.016415734078616517
JUN,-0.011750700294526533
H1-10,0.020527780297512798
JUND,0.0524591256731216
RHOB,0.016597081317679646
KLF2,-0.00650148646254152
ZFP36,-0.00761589206262696
FOSB,-0.009168235758232973
DUSP1,0.012563306281092266
FOS,-0.006082337343023006
DUSP5,0.002225377971157538
HBEGF,0.008977585827021685
GADD45B,0.001926658735604947
PLAUR,-1.834948323142258e-05
RUNX3,-0.017162219317107017
CCR7,-0.010458396249824475
IRF4,-0.03020780537230345
IL7R,-0.021295923170123132
PAG1,-0.03565911797310614
RHOH,-0.012522932999694892
ZAP70,-0.010534696246903856
CCND2,-0.007461111247528727
GAB2,-0.019527800095042805
PPP1R16B,-0.025834814771554845
NRIP1,-0.032251876620217515
TP53INP1,-0.013931683064558003
UHRF1,-0.0011742172744506384
ALOX5,-0.016518774468518696
LRRK2,-0.02034431805603803
FPR1,-0.01924731899617211
MNDA,-0.005897730788732545
THEMIS2,0.005680616567867394
ITGAX,-0.020284219849436177
HK3,-0.012847947190683585
ITGAM,-0.023644248667773378
FGR,-0.020901374678822044
NCF2,-0.01023713407886738
VCAN,-0.011868791143048073
MPEG1,-0.033438340284151685
CTSS,-0.005505052964122211
ITGB2,-0.023013443187204642
LYZ,-0.027625507951078265
PYGL,0.009841224664152047
SERPINB1,0.0032536521171569518
SLC17A9,-0.025916445707129296
H2BC8,0.009159864003728589
H2AC6,-0.0008284929802640314
H2BC12,0.03931221931597849
H4C8,0.019233794802296048
H1-2,0.0260140900077723
H2BC21,-0.0019401461954393832
H4C12,0.03156939112863434
H2BC11,0.02706026851636723
H2AC11,0.009907186087432837
H3C10,0.02492794959802512
H2BC17,0.033428897243329224
H4C3,0.04589593437564229
H2AC13,0.009417676676458485
H2BC9,0.024376676287288044
H2BC5,0.029129134874363152
H2AC8,0.021710002369902153
H2BC7,0.008922646604643139
H4C5,-0.0060695752556858265
H2BC18,0.007051528697668389
H1-4,0.013998422050910163
H2AC20,0.041809010174519844
H2BC4,0.012826408634416924
UBASH3B,-0.026833135686730597
ITGA4,-0.04351471057400342
MYB,0.012668071718517056
KIT,-0.02371751884931073
CDK6,-0.011136323961033312
ERG,-0.01124337539149349
PIK3AP1,-0.033940436204330425
ATP2A3,-0.01280107544042197
SYK,0.026782466320265336
CCDC69,-0.015053451203168483
LAPTM5,-0.03380990793716391
CD37,-0.001673746584470309
ARHGDIB,-0.0021459226807978102
GPSM3,-0.0029565131626330663
RAC2,0.0035064459552886407
